person_age,monthly_income_sar,home_ownership,employment_status,loan_amnt_sar,loan_int_rate,loan_percent_income,monthly_obligation_sar,dbr,eligible_sama
24,4759.06,own,employee,6562.5,11.01,0.11,523.5,0.11,1
21,49480.62,rent,employee,112500.0,5.99,0.19,19297.44,0.39,0
22,103448.12,own,employee,45000.0,11.58,0.04,4137.92,0.04,1
26,98895.62,mortgage,employee,37500.0,11.01,0.03,2966.87,0.03,1
25,83647.19,mortgage,employee,93750.0,15.7,0.09,7528.25,0.09,1
22,26622.19,rent,employee,109125.0,15.99,0.34,14375.98,0.54,0
22,4691.56,mortgage,employee,5625.0,14.84,0.1,469.16,0.1,1
26,97843.75,own,employee,105000.0,10.99,0.09,8805.94,0.09,1
25,97485.0,mortgage,employee,75000.0,14.42,0.06,5849.1,0.06,1
24,95905.31,mortgage,employee,36000.0,6.99,0.03,2877.16,0.03,1
25,94105.0,rent,employee,93750.0,13.49,0.08,26349.4,0.28,1
25,4738.12,own,employee,11250.0,11.01,0.2,947.62,0.2,1
22,21575.62,rent,employee,105000.0,11.01,0.41,13161.13,0.61,0
21,4783.44,own,employee,11250.0,13.61,0.2,956.69,0.2,1
23,24744.69,rent,employee,105000.0,7.9,0.35,13609.58,0.55,0
26,32079.38,rent,employee,105000.0,7.49,0.27,15077.31,0.47,0
26,4759.06,own,employee,22875.0,7.51,0.4,1903.62,0.4,0
22,33301.88,rent,employee,105000.0,9.91,0.26,15318.86,0.46,0
21,4766.25,own,employee,15750.0,13.48,0.28,1334.55,0.28,1
22,4822.5,own,employee,17812.5,7.14,0.31,1494.98,0.31,1
24,31353.75,rent,employee,105000.0,15.99,0.28,15049.8,0.48,0
24,94047.19,rent,employee,67500.0,12.98,0.06,24452.27,0.26,1
144,93942.5,rent,retired,18000.0,13.57,0.02,20667.35,0.22,1
25,37831.88,rent,employee,105000.0,12.69,0.23,16267.71,0.43,0
26,41678.75,rent,employee,105000.0,8.9,0.21,17088.29,0.41,0
26,4845.31,own,employee,10125.0,11.01,0.17,823.7,0.17,1
22,40891.25,rent,employee,105000.0,11.01,0.21,16765.41,0.41,0
23,56973.75,rent,employee,105000.0,11.11,0.15,19940.81,0.35,0
24,26204.06,rent,employee,103500.0,11.01,0.33,13888.15,0.53,0
21,4810.62,mortgage,employee,12187.5,15.68,0.21,1010.23,0.21,1
22,26638.44,rent,employee,103125.0,13.06,0.32,13851.99,0.52,0
22,90283.44,own,employee,93750.0,11.01,0.09,8125.51,0.09,1
26,27835.62,rent,employee,101437.5,15.62,0.3,13917.81,0.5,0
24,31409.06,rent,employee,101250.0,13.49,0.27,14762.26,0.47,0
24,27796.88,rent,employee,101250.0,11.01,0.3,13898.44,0.5,0
23,23716.88,rent,employee,97500.0,11.71,0.34,12807.11,0.54,0
23,45341.25,rent,employee,96000.0,12.69,0.18,17229.68,0.38,0
24,4977.5,own,employee,6000.0,13.57,0.1,497.75,0.1,1
22,22853.44,rent,employee,95531.25,10.99,0.35,12569.39,0.55,0
25,87969.06,mortgage,employee,75000.0,14.27,0.07,6157.83,0.07,1
24,88054.69,own,employee,75000.0,8.88,0.07,6163.83,0.07,1
26,88060.0,mortgage,employee,81000.0,12.18,0.08,7044.8,0.08,1
25,83153.12,mortgage,employee,44625.0,14.42,0.04,3326.12,0.04,1
26,87395.0,mortgage,employee,93750.0,14.17,0.09,7865.55,0.09,1
25,86567.81,mortgage,employee,131250.0,13.99,0.13,11253.82,0.13,1
23,31486.25,rent,employee,94875.0,10.99,0.25,14168.81,0.45,0
22,5068.12,mortgage,employee,7500.0,5.42,0.12,608.17,0.12,1
25,5065.94,own,employee,6562.5,13.61,0.11,557.25,0.11,1
21,16225.62,rent,employee,93750.0,12.73,0.48,11033.42,0.68,0
24,15721.56,rent,employee,93750.0,11.01,0.5,11005.09,0.7,0
25,5118.12,own,employee,11250.0,12.87,0.18,921.26,0.18,1
24,5178.75,mortgage,employee,13687.5,9.91,0.22,1139.32,0.22,1
26,85062.81,mortgage,employee,75000.0,11.49,0.07,5954.4,0.07,1
25,84788.75,mortgage,employee,112500.0,19.91,0.11,9326.76,0.11,1
26,80269.38,mortgage,employee,131250.0,10.65,0.14,11237.71,0.14,1
24,84794.38,rent,employee,22500.0,11.01,0.02,18654.76,0.22,1
24,5146.88,mortgage,employee,16875.0,11.83,0.27,1389.66,0.27,1
23,5187.19,own,employee,9000.0,13.49,0.14,726.21,0.14,1
22,16127.5,rent,employee,93750.0,14.59,0.48,10966.7,0.68,0
26,18286.25,rent,employee,93750.0,9.64,0.43,11520.34,0.63,0
25,5123.44,own,employee,13500.0,14.59,0.22,1127.16,0.22,1
22,5278.12,own,employee,17812.5,11.01,0.28,1477.88,0.28,1
25,16170.94,rent,employee,93750.0,16.35,0.48,10996.24,0.68,0
21,18707.5,rent,employee,93750.0,10.99,0.42,11598.65,0.62,0
25,84678.75,mortgage,employee,93750.0,18.67,0.09,7621.09,0.09,1
26,84646.88,rent,employee,11250.0,9.32,0.01,17775.84,0.21,1
23,84602.81,rent,employee,28125.0,8.63,0.03,19458.65,0.23,1
26,84649.06,mortgage,employee,93750.0,10.08,0.09,7618.42,0.09,1
22,18906.56,rent,employee,93750.0,11.83,0.41,11533.0,0.61,0
23,18985.62,rent,employee,93750.0,7.9,0.41,11581.23,0.61,0
25,19009.06,rent,employee,93750.0,5.99,0.41,11595.53,0.61,0
24,16820.31,rent,employee,93750.0,15.33,0.46,11101.41,0.66,0
23,19000.31,rent,employee,93750.0,11.83,0.41,11590.19,0.61,0
22,18983.44,rent,employee,93750.0,10.36,0.41,11579.9,0.61,0
22,19071.56,rent,employee,93750.0,12.23,0.41,11633.65,0.61,0
22,19761.25,rent,employee,93750.0,11.11,0.4,11856.75,0.6,0
23,5359.06,own,employee,18562.5,7.9,0.29,1554.13,0.29,1
24,82833.12,mortgage,employee,93750.0,11.58,0.09,7454.98,0.09,1
23,81314.06,mortgage,employee,78750.0,8.9,0.08,6505.12,0.08,1
25,81260.94,mortgage,employee,93750.0,16.07,0.1,8126.09,0.1,1
26,81388.75,mortgage,employee,75000.0,14.22,0.08,6511.1,0.08,1
23,80931.25,mortgage,employee,131250.0,14.79,0.14,11330.38,0.14,1
26,80962.81,mortgage,employee,45000.0,7.88,0.05,4048.14,0.05,1
23,19842.81,rent,employee,93750.0,13.22,0.39,11707.26,0.59,0
26,17601.56,rent,employee,93750.0,11.86,0.44,11265.0,0.64,0
22,20263.12,rent,employee,93750.0,13.43,0.39,11955.24,0.59,0
26,18080.0,rent,employee,93750.0,15.28,0.43,11390.4,0.63,0
23,17911.88,rent,employee,93750.0,17.93,0.44,11463.6,0.64,0
23,5286.25,mortgage,employee,5250.0,9.25,0.08,422.9,0.08,1
21,5207.5,own,employee,16875.0,12.98,0.27,1406.03,0.27,1
22,79000.94,mortgage,employee,60000.0,10.62,0.06,4740.06,0.06,1
26,79081.56,own,employee,82500.0,11.83,0.09,7117.34,0.09,1
26,18313.12,rent,employee,93750.0,18.43,0.43,11537.27,0.63,0
22,20941.25,rent,employee,93750.0,11.01,0.37,11936.51,0.57,0
24,20825.94,rent,employee,93750.0,11.01,0.38,12079.04,0.58,0
23,20812.19,rent,employee,93750.0,11.36,0.38,12071.07,0.58,0
23,21003.75,rent,employee,93750.0,15.65,0.37,11972.14,0.57,0
24,20911.88,rent,employee,93750.0,13.22,0.37,11919.77,0.57,0
26,21270.62,rent,employee,93750.0,12.87,0.37,12124.26,0.57,0
24,76732.81,own,employee,75000.0,13.04,0.08,6138.62,0.08,1
23,71588.44,mortgage,employee,82500.0,17.58,0.1,7158.84,0.1,1
23,5580.94,own,employee,29062.5,17.04,0.43,2399.8,0.43,0
24,22690.0,rent,employee,93750.0,10.99,0.34,12252.6,0.54,0
24,22835.31,rent,employee,93750.0,11.11,0.34,12331.07,0.54,0
26,20587.5,rent,employee,93750.0,14.83,0.38,11940.75,0.58,0
23,5548.44,own,employee,15000.0,11.01,0.23,1276.14,0.23,1
24,75368.75,rent,employee,45000.0,12.69,0.05,18842.19,0.25,1
24,75279.38,mortgage,employee,45000.0,13.49,0.05,3763.97,0.05,1
21,75306.25,mortgage,employee,60000.0,14.65,0.07,5271.44,0.07,1
25,20544.38,rent,employee,93750.0,16.82,0.38,11915.74,0.58,0
23,22722.81,rent,employee,93750.0,12.73,0.34,12270.32,0.54,0
23,22695.94,rent,employee,93750.0,10.25,0.34,12255.81,0.54,0
21,22763.44,rent,employee,93750.0,10.99,0.34,12292.26,0.54,0
25,23595.0,rent,employee,93750.0,12.73,0.33,12505.35,0.53,0
22,21507.5,rent,employee,93750.0,14.96,0.36,12044.2,0.56,0
23,75364.69,mortgage,employee,105000.0,11.01,0.12,9043.76,0.12,1
21,75331.25,mortgage,employee,93750.0,13.99,0.1,7533.12,0.1,1
24,75267.19,mortgage,employee,90000.0,7.49,0.1,7526.72,0.1,1
26,75321.88,mortgage,employee,56250.0,14.79,0.06,4519.31,0.06,1
25,75279.69,mortgage,employee,58125.0,11.99,0.06,4516.78,0.06,1
24,75291.25,rent,employee,37500.0,8.49,0.04,18069.9,0.24,1
24,25045.31,rent,employee,93750.0,9.91,0.31,12773.11,0.51,0
22,25094.69,rent,employee,93750.0,13.06,0.31,12798.29,0.51,0
22,75327.5,mortgage,employee,33750.0,6.17,0.04,3013.1,0.04,1
144,75445.0,mortgage,retired,22500.0,11.86,0.02,1508.9,0.02,1
25,75314.06,rent,employee,67500.0,16.32,0.07,20334.8,0.27,1
25,75240.0,mortgage,employee,45000.0,10.38,0.05,3762.0,0.05,1
25,75375.31,mortgage,employee,86437.5,14.35,0.1,7537.53,0.1,1
24,75287.5,mortgage,employee,75000.0,11.01,0.08,6023.0,0.08,1
24,22787.19,rent,employee,93750.0,11.01,0.34,12305.08,0.54,0
21,5627.5,own,employee,11250.0,11.01,0.17,956.68,0.17,1
26,25386.88,rent,employee,93750.0,15.21,0.31,12947.31,0.51,0
23,25271.25,rent,employee,93750.0,7.9,0.31,12888.34,0.51,0
24,25480.31,rent,employee,93750.0,10.99,0.31,12994.96,0.51,0
24,25856.56,rent,employee,93750.0,14.09,0.3,12928.28,0.5,0
25,26219.06,rent,employee,93750.0,17.49,0.3,13109.53,0.5,0
25,75224.06,mortgage,employee,45000.0,11.48,0.05,3761.2,0.05,1
26,70857.5,mortgage,employee,75000.0,17.74,0.09,6377.17,0.09,1
26,75348.12,mortgage,employee,11250.0,13.92,0.01,753.48,0.01,1
25,26651.25,rent,employee,93750.0,15.21,0.29,13059.11,0.49,0
22,5672.5,own,employee,15000.0,10.99,0.22,1247.95,0.22,1
24,26522.19,rent,employee,93750.0,11.86,0.29,12995.87,0.49,0
24,5716.88,own,employee,22500.0,7.49,0.33,1886.57,0.33,1
24,21259.06,rent,employee,93750.0,16.49,0.37,12117.67,0.57,0
25,25000.31,rent,employee,93750.0,15.33,0.31,12750.16,0.51,0
26,24960.94,rent,employee,93750.0,11.58,0.31,12730.08,0.51,0
25,5765.31,own,employee,20156.25,5.79,0.29,1671.94,0.29,1
25,27547.81,rent,employee,93750.0,13.11,0.28,13222.95,0.48,0
23,28159.06,rent,employee,93750.0,10.36,0.28,13516.35,0.48,0
25,28418.12,rent,employee,93750.0,10.36,0.27,13356.52,0.47,0
24,72292.19,rent,employee,82500.0,11.01,0.1,21687.66,0.3,1
21,72446.56,mortgage,employee,75000.0,6.54,0.09,6520.19,0.09,1
25,72036.25,mortgage,employee,37500.0,12.53,0.04,2881.45,0.04,1
26,71758.12,mortgage,employee,56250.0,11.01,0.07,5023.07,0.07,1
22,71533.44,mortgage,employee,37500.0,11.01,0.04,2861.34,0.04,1
24,28418.12,rent,employee,93750.0,10.25,0.27,13356.52,0.47,0
22,26963.75,rent,employee,93750.0,15.95,0.29,13212.24,0.49,0
26,71491.88,mortgage,employee,75000.0,12.18,0.09,6434.27,0.09,1
23,71570.94,own,employee,90000.0,11.83,0.1,7157.09,0.1,1
23,29621.56,rent,employee,93750.0,11.01,0.26,13625.92,0.46,0
23,29618.75,rent,employee,93750.0,10.62,0.26,13624.62,0.46,0
23,29780.62,rent,employee,93750.0,10.74,0.26,13699.09,0.46,0
25,69982.5,own,employee,37500.0,10.25,0.04,2799.3,0.04,1
24,69571.56,mortgage,employee,131250.0,12.42,0.16,11131.45,0.16,1
25,69679.06,rent,employee,56250.0,15.27,0.07,18813.35,0.27,1
24,23512.5,rent,employee,93750.0,15.33,0.33,12461.62,0.53,0
23,30044.69,rent,employee,93750.0,15.21,0.26,13820.56,0.46,0
21,5645.0,own,employee,23437.5,14.72,0.35,1975.75,0.35,0
24,30195.94,rent,employee,93750.0,15.7,0.26,13890.13,0.46,0
24,30096.56,rent,employee,93750.0,13.35,0.26,13844.42,0.46,0
21,5756.56,mortgage,employee,5625.0,11.01,0.08,460.52,0.08,1
24,30261.25,rent,employee,93750.0,6.62,0.26,13920.18,0.46,0
26,30295.94,rent,employee,93750.0,13.61,0.26,13936.13,0.46,0
22,69679.69,rent,employee,93750.0,11.36,0.11,21600.7,0.31,1
26,69682.81,own,employee,18750.0,7.68,0.02,1393.66,0.02,1
24,69707.5,rent,employee,82500.0,14.46,0.1,20912.25,0.3,1
23,69237.19,own,employee,9375.0,11.83,0.01,692.37,0.01,1
24,64910.0,mortgage,employee,75000.0,13.47,0.1,6491.0,0.1,1
24,69022.5,mortgage,employee,75000.0,11.49,0.09,6212.02,0.09,1
22,68911.88,mortgage,employee,3750.0,11.01,0.0,0.0,0.0,1
25,68909.38,mortgage,employee,56250.0,6.03,0.07,4823.66,0.07,1
23,28068.12,rent,employee,93750.0,16.35,0.28,13472.7,0.48,0
26,28126.88,rent,employee,93750.0,11.01,0.28,13500.9,0.48,0
25,30845.0,rent,employee,93750.0,7.29,0.25,13880.25,0.45,0
23,30927.19,rent,employee,93750.0,11.36,0.25,13917.23,0.45,0
24,31073.44,rent,employee,93750.0,10.25,0.25,13983.05,0.45,0
24,31455.62,rent,employee,93750.0,11.12,0.25,14155.03,0.45,0
24,31385.94,rent,employee,93750.0,12.92,0.25,14123.67,0.45,0
24,67789.06,rent,employee,67500.0,18.64,0.08,18980.94,0.28,1
23,67778.44,mortgage,employee,105000.0,7.51,0.13,8811.2,0.13,1
23,5785.0,own,employee,15000.0,16.7,0.22,1272.7,0.22,1
22,5739.69,own,employee,7875.0,11.14,0.11,631.37,0.11,1
22,31974.06,rent,employee,93750.0,18.3,0.24,14068.59,0.44,0
24,32312.5,rent,employee,93750.0,10.62,0.24,14217.5,0.44,0
24,67854.38,mortgage,employee,52500.0,11.99,0.06,4071.26,0.06,1
26,67820.0,mortgage,employee,45000.0,9.63,0.06,4069.2,0.06,1
25,53817.19,mortgage,employee,37500.0,18.25,0.06,3229.03,0.06,1
23,5884.69,mortgage,employee,22500.0,11.01,0.32,1883.1,0.32,1
24,32921.56,rent,employee,93750.0,14.84,0.24,14485.49,0.44,0
24,28495.0,rent,employee,93750.0,14.7,0.27,13392.65,0.47,0
23,28714.38,rent,employee,93750.0,16.02,0.27,13495.76,0.47,0
23,25141.25,rent,employee,93750.0,15.37,0.31,12822.04,0.51,0
25,33986.88,rent,employee,93750.0,10.99,0.23,14614.36,0.43,0
21,5911.25,own,employee,23250.0,7.9,0.33,1950.71,0.33,1
26,67885.62,own,employee,93750.0,10.99,0.12,8146.28,0.12,1
24,67817.81,own,employee,78750.0,11.48,0.1,6781.78,0.1,1
25,67773.12,own,employee,75000.0,14.26,0.09,6099.58,0.09,1
26,67760.31,own,employee,37500.0,8.0,0.05,3388.02,0.05,1
25,67650.94,mortgage,employee,37312.5,11.26,0.05,3382.55,0.05,1
23,5937.5,own,employee,16781.25,11.01,0.24,1425.0,0.24,1
23,29488.44,rent,employee,93750.0,16.32,0.26,13564.68,0.46,0
25,25178.12,rent,employee,93750.0,17.93,0.31,12840.84,0.51,0
23,34114.69,rent,employee,93750.0,11.36,0.23,14669.32,0.43,0
24,29922.81,rent,employee,93750.0,14.96,0.26,13764.49,0.46,0
24,34667.19,rent,employee,93750.0,13.43,0.23,14906.89,0.43,0
25,34840.62,rent,employee,93750.0,12.69,0.22,14633.06,0.42,0
24,34915.31,rent,employee,93750.0,12.73,0.22,14664.43,0.42,0
23,35436.25,rent,employee,93750.0,15.21,0.22,14883.22,0.42,0
23,5992.19,mortgage,employee,6562.5,12.68,0.09,539.3,0.09,1
23,26808.44,rent,employee,93750.0,19.04,0.29,13136.13,0.49,0
25,31910.62,rent,employee,93750.0,15.95,0.24,14040.68,0.44,0
26,65939.06,mortgage,employee,9750.0,8.9,0.01,659.39,0.01,1
25,65907.19,mortgage,employee,30000.0,7.9,0.04,2636.29,0.04,1
22,65798.44,mortgage,employee,67500.0,11.01,0.09,5921.86,0.09,1
23,65917.81,mortgage,employee,78750.0,11.99,0.1,6591.78,0.1,1
23,5956.88,own,employee,15000.0,13.98,0.21,1250.94,0.21,1
23,5914.38,own,employee,17250.0,10.99,0.24,1419.45,0.24,1
22,33341.88,rent,employee,93750.0,15.58,0.23,14337.01,0.43,0
25,28349.38,rent,employee,93750.0,10.99,0.28,13607.7,0.48,0
25,33333.75,rent,employee,93750.0,14.96,0.23,14333.51,0.43,0
25,5986.88,own,employee,6562.5,15.31,0.09,538.82,0.09,1
26,33255.94,rent,employee,93750.0,15.65,0.23,14300.05,0.43,0
25,37717.5,rent,employee,93750.0,9.33,0.21,15464.18,0.41,0
23,5957.81,mortgage,employee,13500.0,13.47,0.19,1131.98,0.19,1
24,38775.94,rent,employee,93750.0,10.36,0.2,15510.38,0.4,0
24,34897.81,rent,employee,93750.0,16.77,0.22,14657.08,0.42,0
23,35197.81,rent,employee,93750.0,14.59,0.22,14783.08,0.42,0
22,65918.12,rent,employee,13125.0,11.91,0.02,14501.99,0.22,1
23,65850.0,mortgage,employee,27000.0,8.38,0.03,1975.5,0.03,1
25,65845.31,rent,employee,33750.0,10.59,0.04,15802.88,0.24,1
25,65624.06,mortgage,employee,33000.0,14.27,0.04,2624.96,0.04,1
26,65585.31,rent,employee,45000.0,12.53,0.06,17052.18,0.26,1
25,61021.25,mortgage,employee,93750.0,16.0,0.13,7932.76,0.13,1
26,65435.31,mortgage,employee,37500.0,11.71,0.05,3271.77,0.05,1
21,5866.56,own,employee,11906.25,11.54,0.17,997.32,0.17,1
25,36387.19,rent,employee,93750.0,15.68,0.21,14918.75,0.41,0
21,5990.31,mortgage,employee,5625.0,10.59,0.08,479.22,0.08,1
24,37005.31,rent,employee,93750.0,12.61,0.21,15172.18,0.41,0
26,41711.25,rent,employee,93750.0,11.01,0.19,16267.39,0.39,0
23,6035.0,mortgage,employee,10500.0,8.49,0.14,844.9,0.14,1
25,60109.69,rent,employee,112500.0,17.27,0.16,21639.49,0.36,0
24,64577.5,rent,employee,67500.0,8.9,0.09,18727.47,0.29,1
25,64076.88,mortgage,employee,37500.0,11.11,0.05,3203.84,0.05,1
24,59604.69,rent,employee,93750.0,14.59,0.13,19669.55,0.33,1
26,64022.5,rent,employee,48750.0,12.42,0.06,16645.85,0.26,1
24,31486.88,rent,employee,93750.0,11.01,0.25,14169.09,0.45,0
24,41634.69,rent,employee,93750.0,15.7,0.19,16237.53,0.39,0
22,5913.44,own,employee,9375.0,12.53,0.13,768.75,0.13,1
25,50591.88,rent,employee,18750.0,16.49,0.03,11636.13,0.23,1
25,64107.5,mortgage,employee,75000.0,7.49,0.1,6410.75,0.1,1
22,38005.31,rent,employee,93750.0,14.96,0.21,15582.18,0.41,0
25,42564.38,rent,employee,93750.0,12.73,0.18,16174.46,0.38,0
24,45285.94,rent,employee,93750.0,10.65,0.17,16755.8,0.37,0
25,45385.31,rent,employee,93750.0,10.74,0.17,16792.57,0.37,0
23,45313.12,rent,employee,93750.0,9.99,0.17,16765.86,0.37,0
24,34672.81,rent,employee,93750.0,15.33,0.23,14909.31,0.43,0
21,6066.88,own,employee,3750.0,7.29,0.05,303.34,0.05,1
26,40655.0,rent,employee,93750.0,15.05,0.19,15855.45,0.39,0
26,49153.75,rent,employee,93750.0,10.75,0.16,17695.35,0.36,0
23,49060.94,rent,employee,93750.0,16.02,0.16,17661.94,0.36,0
23,49047.5,rent,employee,93750.0,11.49,0.16,17657.1,0.36,0
25,64064.06,own,employee,75000.0,12.53,0.1,6406.41,0.1,1
26,64081.25,mortgage,employee,45000.0,13.57,0.06,3844.88,0.06,1
22,63681.88,rent,employee,52500.0,11.14,0.07,17194.11,0.27,1
26,63552.5,rent,employee,90937.5,12.87,0.12,20336.8,0.32,1
23,63563.44,rent,employee,75000.0,11.58,0.1,19069.03,0.3,1
24,63348.44,rent,employee,6750.0,11.12,0.01,13303.17,0.21,1
25,63289.06,mortgage,employee,131250.0,10.65,0.17,10759.14,0.17,1
24,50464.69,rent,employee,93750.0,10.37,0.15,17662.64,0.35,0
24,6149.06,own,employee,12375.0,6.39,0.17,1045.34,0.17,1
24,50610.0,rent,employee,93750.0,16.07,0.15,17713.5,0.35,0
25,50487.5,rent,employee,93750.0,10.62,0.15,17670.62,0.35,0
25,6069.69,own,employee,12000.0,18.09,0.16,971.15,0.16,1
25,50979.38,rent,employee,93750.0,11.36,0.15,17842.78,0.35,0
26,51150.94,rent,employee,93750.0,12.53,0.15,17902.83,0.35,0
25,54678.75,rent,employee,93750.0,9.99,0.14,18590.78,0.34,0
23,56567.5,rent,employee,93750.0,10.36,0.14,19232.95,0.34,0
23,62162.5,mortgage,employee,36000.0,5.99,0.05,3108.12,0.05,1
22,57750.0,mortgage,employee,90000.0,15.62,0.13,7507.5,0.13,1
24,62144.38,mortgage,employee,75000.0,10.37,0.1,6214.44,0.1,1
25,62314.69,mortgage,employee,93750.0,19.74,0.13,8100.91,0.13,1
21,62125.94,mortgage,employee,75000.0,6.91,0.1,6212.59,0.1,1
23,6263.75,own,employee,22500.0,7.9,0.3,1879.12,0.3,1
23,6375.31,mortgage,employee,8531.25,13.06,0.11,701.28,0.11,1
23,6205.94,own,employee,7500.0,6.39,0.1,620.59,0.1,1
23,55831.25,rent,employee,93750.0,14.93,0.14,18982.62,0.34,0
23,6381.56,mortgage,employee,21000.0,12.84,0.27,1723.02,0.27,1
24,6360.31,own,employee,13593.75,17.14,0.18,1144.86,0.18,1
22,6342.81,mortgage,employee,20625.0,7.14,0.27,1712.56,0.27,1
25,65916.25,rent,employee,93750.0,8.9,0.12,21093.2,0.32,1
22,6376.56,own,employee,7500.0,12.42,0.1,637.66,0.1,1
24,69748.12,rent,employee,93750.0,12.68,0.11,21621.92,0.31,1
25,61112.5,rent,employee,93750.0,11.03,0.13,20167.12,0.33,1
26,60668.75,rent,employee,112500.0,7.9,0.15,21234.06,0.35,0
22,60417.81,mortgage,employee,131250.0,10.65,0.18,10875.21,0.18,1
25,84685.0,rent,employee,93750.0,11.86,0.09,24558.65,0.29,1
25,6319.06,own,employee,18750.0,8.94,0.25,1579.77,0.25,1
23,6461.88,own,employee,16406.25,9.63,0.21,1356.99,0.21,1
25,18981.88,rent,employee,92812.5,14.22,0.41,11578.94,0.61,0
23,22751.56,rent,employee,92812.5,9.33,0.34,12285.84,0.54,0
24,31878.44,rent,employee,91875.0,13.85,0.24,14026.51,0.44,0
22,6530.0,mortgage,employee,7500.0,10.65,0.1,653.0,0.1,1
24,34775.94,rent,employee,91875.0,11.46,0.22,14605.89,0.42,0
